index,Name,Age,Breed1,Breed2,BreedCount,Gender,Color1,Color2,Color3,ColorCount,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed
2110,Godiva,12,307,0,1,2,2,7,0,2,2,2,2,1,1,1,1,0,41326,a042471e0f43f2cf707104a1a138a7df,0,"Godiva was rescued in Serdang residential area. Her group of friends were caught by dog catcher team and she is the only one left. Being stray, she is not afraid of human touch, she is believed to be fed by some household throughout the period. Godiva looks gorgeous and her unigue colour coats is the eye - catcher. Medium length hair, she is absolutely beautiful and would be a good loving companion. Please do give her a good home.",6436c1a59,7,2.0
2111,Tigers,3,307,0,1,2,6,0,0,1,2,1,2,1,2,1,3,0,41326,fa7cd6caa034d4332fc75d70807e83a3,0,"Three puppies abandoned on the street, picked up and fed properly.Now active,healthy and cute.",234a5a54c,5,4.0
2112,Donut,10,307,117,2,2,1,2,7,3,2,2,1,1,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"Donut is a friendly doggie and very domesticated. She will bark at strangers and will not run out of the house. Needs a cage as her sleeping bed, she likes to lie in there. Her former owner abandoned her after she had demodex. She is cured now. Vaccination and neutering fees to be borne by adopter. Please call if you can give her a home.",1bf24d8be,0,4.0
2113,Hunter,14,189,0,1,1,1,2,0,2,3,1,1,1,2,1,1,1,41326,cbc97ee98ae458e5deecedbc648e90d2,0,"healthy and active , skinny and tall, as the mother (doberman) fully vaccinated , dewormed. Authorities not allowed have more than 1 dog at home, they dont issue license .",7843a9dca,0,3.0
2114,Benji & Kimi,4,205,218,2,3,2,7,0,2,1,2,1,1,1,1,2,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"Benji and his sister Kimi are a handsome pair of shitzu cross. Both have cute shaggy face, with brown patches over their white body. Very manja and need lots of attention and love. Only as indoor pets and no caging.",1a76190c5,5,3.0
2115,BoiBoi,24,307,0,1,1,5,7,0,2,2,1,1,1,2,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,"Boiboi is rescued by my daughter 2 years ago from outside her tuition place. He was sick and abandoned alone without the mother. Now he is very healthy, playful and gentle. He is not only playful but also toilet trained and well behave. I hope he can have new family with full of love and caring.",543130f60,1,4.0
2116,WHISKY,12,307,0,1,1,1,0,0,1,2,1,2,2,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,"This is Whisky, rescued from the streets. He is looking for a loving home. He is very friendly and doesn't bark unnecessarily. Gets along quite well with another dog. Please contact me if you wish to adopt him. No caging up or tying up.",deff069a2,4,1.0
2117,,12,307,0,1,1,5,0,0,1,2,2,1,1,2,1,1,0,41326,6757d0b9d5b72d8b78c20e355c7fe62c,0,,4e3640544,1,3.0
2118,Jack,5,128,307,2,1,7,0,0,1,2,1,1,1,1,1,1,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,"Jack is a Jack Russell crossed. He is very friendly, active, playful, and joyful. He has four short legs and a stubby tail.Still it will wags vigourously atwhat delights him.You should see how he & his age gang troop around our garden & terrace.",671ffc570,6,3.0
2119,Xiao Gou,12,307,0,1,1,2,7,0,2,2,2,2,1,1,1,1,0,41336,61c1f7b917b7f6772c5e77849c2b4127,0,"xiao gou already rescue one year dy,but still not yet get adopter yet....he so sweet n also like to play ....he hv a gf also ,his gf also is rescue after.one.year.dy...they need a.home.....both spay dy...hope can get adopt.one.pair.of.them",aece6e7bf,2,4.0
2120,Blackie & Spotty,4,307,0,1,1,1,7,0,2,2,1,2,2,2,1,2,0,41326,5788b8639ed178795510a8cbe72ccc28,0,"These 2 adorable male puppies were dumped outside of Mayo Veterinar Clinic, Taipan USJ. They are both active, healthy and up for adoption. Only for responsible adopters who are willing to spay the dogs at special rescue rate of RM only. For adoption, please contact Rani (who works at the vet) at. Address:Mayo Veterinar Clinic, UEP Subang Jaya, 11A, Jalan USJ 10/1g, Subang Jaya, Selangor, Malaysia Tel: +",c1e816568,11,4.0
2121,Lollipop,72,307,0,1,2,2,7,0,2,2,1,1,1,1,1,1,0,41326,c9a898071102b4fc7d485be4ff0e35d9,0,"She is a calm, gentle, good-mannered, friendly,loyal and obedient dog. She was ill-treated by her previous owner. She was sent for a detailed medical examination and to treat some of her wounds, currently still under the vet care. She is eager to shower love to her future owners.",ea159d8da,3,4.0
2122,,1,307,0,1,3,1,2,0,2,2,1,3,3,2,1,9,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,We are cute and good girls and boys. We need a home sweet home. If u are interested to provide us a home. Pls contact ,af1035c81,3,3.0
2123,,1,307,141,2,2,1,0,0,1,2,2,2,1,1,1,2,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,"2 adorable female black pups rescued from USJ 1 factory area in Subang Jaya. Judging from the colour and look, they could be black labrador mix pups. Both pups have been spayed. One of the pure black puppies had a hernia which was removed during her spaying. Please contact Mdm Jocelyn at for adoption.",6fecc5cf7,13,3.0
2124,,2,307,0,1,1,2,7,0,2,2,1,1,1,2,1,1,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,Bouncer is a happy pup that needs a happy loving environment to grow up in and of course till its last day in this world. If you can do that for him please call or whatsapp Jocelyn at. Adoption requirement is commit to neutering. I collect back vaccination fee. Please Don't sms or email.,015c75c9e,3,3.0
2125,Mummies,12,307,307,1,2,2,0,0,1,2,2,1,1,1,1,2,0,41326,db37468644b7600f55f9c0bab40acf59,0,"Strays are always not given a choice in life where they will get pregnant easily and hence produce more stray puppies/kittens. The two strays here are looked alike but they are different by looking at their eyes (find the difference). When I first found them, they are residing near my office with fat bodies. (How come these two strays are fat like house dogs, I asked myself?) They were getting fatter and fatter. By then, I know that they are not 'fat' but pregnant. After two months if feeding them with food n vitamin, they have delivered 10 healthy n lovely puppies in total - Wanna Try Puppydum? Adopt 1! With help of others (hereby thank you for their help given), I managed to neuter and vaccinate Mummy 2. Next would be Mummy 1. As I believe miracle will always happen. Let you be the one who create the miracle by adopting one or both of them (both of them can stay well together) without counting gender, breed, colour and age. You will change their lives and yours with more companionship and love! Thank you.",9609a0b86,5,4.0
2126,Dusty,3,307,0,1,2,2,7,0,2,1,1,3,3,3,2,1,0,41326,32dec3aacc31b4fb66ad0c807fd69696,0,"She is very active, obedient, cute! Found her in the drain, she need someone urgently for her new home. She does have skin rashes n taken medicine. Need time for her rashes to go but she is very lovable. I cant be taking of her as my bro in law is malay.",c740abfe1,0,3.0
2127,Skippy,24,307,0,1,2,5,0,0,1,2,2,1,1,1,1,1,0,41326,a23a047157d709e38cf801a723a246ba,0,"Skippy is super friendly, great with kids, easy to handle, you can keep her in door due to her small size, and also she is toilet trained.",d765ae877,2,2.0
2128,Ceasar,4,307,0,1,1,5,0,0,1,3,2,2,2,2,1,1,0,41326,2bae234d5ea501d9e1671b9154c6dc70,0,"Ceasar is a male puppy. He is a very lovely, active and intelligent puppy. He always wanted to play with others dog.",8ce183889,3,1.0
2129,Lego,9,307,0,1,1,2,5,0,2,2,1,1,1,3,1,1,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,"Lego was in an accident and saved by one of our feeders. He is fully healed. One leg has a slight dent, as no surgery was needed. Lego loves humans and is sooo friendly. Poor boy is stuck in a cage all the time. He really needs a home. He does not care for other dogs though, Lego is a very handsome and loving boy.... please consider adopting him!!! Contact",f0ef9c777,2,4.0
2130,Milky,60,307,0,1,2,2,5,0,2,2,1,2,2,1,1,1,0,41326,167e96a28fab246120f636262f0308d4,0,Milky was dump ard our area for more than half a year now. She became homeless n her resting place is under the drain. She got pregnant n delivered to 2-3 puppies during Christmas Eve but all died bcos they were all under the drain n it was raining every night during that period. She is now neutered n the vet said she is now in the pink of health. She is about 5-6 years old & a mongrel mix. Anyone who is interested to adopt n give her a home pls contact me,3181e5424,2,4.0
2131,,2,307,0,1,1,1,2,0,2,2,2,2,2,2,1,1,0,41327,ba86004409dfbe41d6d72cc92a31439b,0,"Please help these puppies find good homes...A drain is definitely not a place we can call home! For adoption, kindly contact. Fosterer(s) are welcome, too.",9883a048e,5,2.0
2132,,2,213,307,2,3,1,3,7,3,2,3,1,1,2,1,7,0,41326,e62135526c27156b8479420aad166317,0,"~ PLEASE CLICK ON OUR PHOTOS FOR A CLEARER VIEW ~ ___________________________________________________ ♦ Introducing the Little Yelpers! ♦ Born on 24th September, : Now 8 weeks old, already fully on solid food (kibbles). Started potty training. They're free from fleas and other parasites (already given Frontline spray) and have received their first de-worming. Puppies' gender: MALES: Rusky, Rocky, Dasher, Whiskey, Barkly. FEMALES: Raven, Jasmine, Candy. ________________________________________________ >>> PLEASE READ >>> • Puppies, once adopted, must NOT be caged. Leashing should only be for temporary needs. • An adoption fee for their neutering (COMPULSORY) + vaccinations (first shots done) will apply, please inquire. Please feel free to call, or drop me an email, if you feel that you may be just the right person to take one of these darlings home! Thank you! :)",b0dec8779,21,3.0
2133,Ding Ding,48,205,0,1,2,2,5,0,2,2,2,1,1,2,1,1,0,41326,3b4973ac9e6a430314f5cfd356fdb3e4,0,Ding Ding is adopted. Thanks.,e8d0907ae,5,1.0
2134,Jasz,62,307,0,1,1,1,3,6,3,2,2,1,1,1,1,1,0,41401,de218e291145dbc92083d5bc292d10b8,0,Jasz is a very friendly and well-behaved Schnauzer . He doesn’t bark very often so he’s perfect for an apartment. He easily adopts to new places and people.,ef14861df,3,4.0
2135,QiQi,36,307,0,1,2,1,2,0,2,2,1,1,1,1,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,"I rescued QiQi with her sibling (Xiao Bai -) 3 years ago from the flood. She is very healthy, obedient, toilet trained and playful. I hope she can be adopted together with Xiao Bai since they never been separated since puppies and they can find good and loving care new family.",a9bc357f0,1,4.0
2136,,1,307,307,1,2,1,2,0,2,2,2,2,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,Dog 4 Adoption,aaf4a1439,1,3.0
2137,Baby / Bubbles,2,141,128,2,1,1,2,7,3,1,1,1,3,2,1,1,0,41401,d2ec92fbdbf1e452b57cd25b3d51bc72,0,3 month-old male puppy for adoption. a cross between two pure breeds (Labrador & Jack Russel). Had all his shots/ vaccination.Has tan & black fur. Serious pet lovers only. Looking for a good home for him as we can't keep him. Ty ♥,1e62e6022,5,1.0
2138,Ollie,2,307,0,1,1,1,2,0,2,1,1,1,1,2,1,1,0,41326,0e18b1cafeff35a2ba291e3c7e31255d,0,"he's rescued from the industrial park. very active. and now way on curing his minor disease (skin problem - ringworm). if the adopter wants it to be spayed, then we will spayed it before handling it over.",4e797dcdd,3,4.0
2139,,1,173,96,2,3,1,2,7,3,2,2,2,2,2,1,9,100,41335,80ecb2b31b27d310c829d09e1570cef9,0,"I have two litters of puppies for adoption.. Their breed include american pit bull,rottwiler,finnish spitz and lapponian herder.. AMERICAN PIT BULL TERRIER CROSS ROTTWILER PUPPY FOR SALE! Mom pitbull/Dad rottwiler(Both extremely tame) Born /14 Still available for sale 4 males and 1 female. Shows extreme strength just days after born. Shows signs of high alertness(perfect watch dog) Started barking and howling at 9 days old! Started walking and open eyes at 10 days! Started playing and fighting at 15 days. Started solid food at 25 days. Numbering as in the pictures.. (SOLD)1)Color mohogany,male,american pit bull terrier body type and hair,medium sized head with bull dog characteristics. (SOLD)2)Color rottwiler,male,pit bull body type(large)and hair,big sized head with bull dog characteristics. (SOLD)3)Color rottwiler,male,pit bull body type(large)and slightly longer hair,big sized head with bull dog characteristics. (SOLD)4)Color white,male,american pit bull terrier body type and more fluffy hair,small sized head. (SOLD)5)Color white,female,american pit bull terrier body type and hair,small sized head. FINNISH SPITZ CROSS LAPPONIAN HERDER PUPPY FOR SALE! Mom finnish spitz/Dad lapponian herder. Born /14 Still available for sale 3 females and 1 male. Likes to be around people. Shows extreme intelligence. Shows signs of high alertness(perfect watch dog) Started barking and howling at 10 days old! Started walking and open eyes at 12 days! Started playing and fighting at 17 days. Started solid food at 25 days. (AVAILABLE)1)% lapponian herder,female. (SOLD)2)Color finnish spitz(lighter tone),female,very active and likes to glue to people! (SOLD)3)Color finnish spitz(fluffy hair),female. (BOOKED)4)Color finnish spitz,male. Transportation can be provided for outstation buyers but charges will apply. For more info or inquiries pls feel free to contact me..",45d2ddcb8,5,2.0
2140,Coco,2,307,0,1,2,2,5,0,2,2,1,2,1,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,Hi Coco is a rescued puppy from the streets. If you would like to adopt her pls contact me. She is very active and is very friendly with other dogs.,259b10a3e,1,0.0
2141,Pebbles & Pepper,2,307,0,1,2,1,0,0,1,3,1,1,1,2,1,2,0,41326,603f4e699a92fb6b4f0479c1a3c6e13f,1,"These 2 beautiful puppies were left at the park in front of my house on a rainy day. i decided to take them in as i don't think they will survive the rain and cold out there at such a young age. unfortunately, i cant keep them cause i have 3 doggies of my own. Below are the conditions for adoption: 1.Must be committed to neuter her when she reaches 6 months old. Also able to provide medical needs, yearly vaccination etc. 2. Allow visits & follow up (send me updates with pics/ videos of Pepper/Pebbles) during initial stages of adoption. 3. He will be treated as a family member with loving care and affection, ensure his safety and well-being. If your interested in adopting, whatsapp me at. One of it was adopted by a lovely lady so theres 1 still up for adoption.",d2490c888,3,4.0
2142,Zoe,12,307,0,1,2,2,0,0,1,2,1,1,1,1,1,1,0,41326,bb37f98b63ae488316a12dc070c4d075,0,"Adopted her at a drive at Citta Mall when she was about 2 months old. She is an active and playful dog, and very obedient.",2c93c0c11,3,3.0
2143,,2,307,307,1,1,2,0,0,1,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,For Adoption,35593da00,5,1.0
2144,,1,307,0,1,2,2,7,0,2,2,1,1,1,2,1,1,0,41326,89c6f93e7aa2c394634306ac9efe4072,0,"This puppy is currently living in an abandoned carpark and if not adopted, might be caught by the council as people has filed complaints against them. Very cute and will be neutered and vaccinated once it is 3 months old.",4cc70e613,1,3.0
2145,,2,307,0,1,2,1,2,0,2,2,1,1,2,2,1,1,0,41327,3223e1c4cb2bef48823ee5c604b9aa04,0,"Puppy saved from MPSP pound yesterday. She is all heathy and just received her 1st vaccination today. She is currently up for adoption.. Do give this pound puppy a second chance. Interested adopters, please contact or.",ff125cf8d,1,4.0
2146,Teddy,3,207,0,1,1,1,2,0,2,1,3,1,1,3,1,1,750,41326,d03a75a35edc98d0c4eaab6cc0157d0b,0,"he is the best breed of the so you can train him easily. He is very playful.toilet, sit, come and jump trained. Moreover, his color will change to silver color when he grown. I don't have enough time to care him. He deserve to have a good family.",c30dd6e9a,2,1.0
2147,Tanto,3,307,0,1,1,1,7,0,2,2,2,2,1,2,1,1,0,41325,5b713a4d7902d3e516f80a0761afc403,0,Tanto needa a good home...he is a beautiful and more ppl person.very calm personality. Hoping for adopters around penang or kulim.He is not as photogenic as his brother....but everyone that seems him...goes like ...woooww so beautiful,be9474b85,1,2.0
2148,Cody,3,307,141,2,1,5,0,0,1,2,2,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,Lovely puppy with good nature looking for a home sweet home. Interested to adopt pls contact ,815f4cc08,3,3.0
2149,,1,307,0,1,2,1,2,0,2,2,2,2,2,2,1,2,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,Very adorable and cute puppies Commitment to spay them when reach 6 months old is compulsory Serious adopter pls call.,867308404,3,2.0
2150,,2,189,307,2,1,1,2,0,2,3,2,3,3,3,1,1,0,41326,5cbf7860da1936f71acb44d6c1b8b292,0,"We was found this dog from a roadside i think its abandoned, Its a Rottweiler mix breed.. If anybody would like to take care and give him a new home by ur kind adoption pls do contact me. -Rishi Location : Taman kinrara sek 2,Puchong **Your kind adoption will give them a new life,Thanks and God Bless**",258667857,4,2.0
2151,,12,307,0,1,2,5,0,0,1,2,2,1,1,1,1,1,0,41330,f2522890ad604bf70421af61cb871a96,3,"Nickki is mixed breed,female, one year plus, fast learner and food motivated dog. Not suitable for house with small dog and cat. She has finished her training and she know Hand Signal as well. She know Sit, Down, Hand, Stay, Come, No,Spin ,Sleep,Heel, Hold Object and Fetch. She is toilet train on grass and will not enter your house. Forgive me if you think i want to earn popularity. But my action are based on good intentions.I hope Nickki will inspire people about street dog. Street Dog aren't stupid. They simply experienced more life than other pure breed dogs.If they are human, i should call them wise man. If they are given the same opportunity to learn, Street dogs can be as smart as pure breed dogs. Please give a chance to street dog. If you have a chance to choose between a Pure breed dog and a Street dog, choose KINDNESS and COMPASSION over status symbol.Try to help the poorest among the poor.You will always be right. medical conditions: She has mild skin sensitive.No human over left food for her. Recommend Fish oil for her skin to look shine . She need a bath only once a week. Adoption conditions 1) Adopter must be a Malaysian. 2) Strictly NOT for farm use, factory use, office use, workshop use. 3) she needs a landed property with space to move about. 4) Give all the health & medical attention such as vaccination, deworming, tick, and fish oil. 5) During the initial stage of adoption, allow visitation or what app pictures so I can ensure she is adjustable well to her new environment. Pls call,what app,we chat,viber to or email to if you are interested",fd3172797,11,3.0
2152,Molly,2,307,76,2,1,1,7,0,2,2,1,1,1,2,1,1,0,41326,e03a1162538a0414d6c79823ad6c2744,4,"Mochi, momo and Molly are siblings, about 3 months old, black and white patches cute little babies, they are toilet trained potty on newspapers. Mochi was found in the bushes on 14/4/14 Sunday morning, siblings reunion with momo and Molly on 23/4/14 morning. They are healthy, playful and love human companion very much, Mochi has received the 1st vaccination on 16/4/14 wed and dewormed, momo and Molly will be receiving theirs next week. Interested adopter can adopt anyone of them or all of them, please call or what's app fosterer . Before you decided to take them as a new family member please go through the terms and conditions for adoption : 1) must agree on neutering when they reach 6th month old. 2) no adoption fees needed, however an amount of rm will be collected to keep aside for neutering fees in future. 3) provide sufficient space to run around, no caging and tying up in the house whole area and allow indoor. 4) allow home visit from foster/rescuer to visit until they are comfortable living with adopter in new environment, it should be arranged at least once a month. 5) able to provide basic medical treatments when they fall sick as well as complete the initial 3 vaccinations follow by yearly vaccination. 6) other members in the family must be informed and agree for this adoption.",8df0bb3b3,18,3.0
2153,Rocky,1,307,0,1,1,2,0,0,1,2,1,2,2,2,1,1,0,41330,f2522890ad604bf70421af61cb871a96,0,"Puppies are five week old and looking for good home and family that can love them and treat them as part of the family. They are still very young and need love, patients and attention , so must take care them well. Adoption conditions: 1) Adopter must be Malaysian 2) They are not small size, they need a landed property to move around. 3) Give all the health and medical attention such as vaccination, deworming, tick lotion 4) Not for factory, workshop or farm use 5) During the stage of adoption, email or sent what app picture, so I can ensure they are adjustable well to her new environment. Pls call or what app to this no if interested:",3d0752cd9,5,3.0
2154,,1,307,307,1,3,2,7,0,2,2,1,2,2,2,1,5,0,41326,61fe7e6f5cc3f8e40dcb5f14147f38fe,0,"Mother and her puppies were found in Bayu Tinggi, Klang. Mr Eric has fostered them but he only can foster for a few days, urgently looking for someone to adopt them!",573b3ec3d,0,4.0
2155,HeiHei,2,307,0,1,1,1,2,0,2,2,1,2,2,2,1,1,0,41327,051023f822efb1612c95900fa7656f39,0,"HeiHei was picked up from Penang SPCA on 6th Apr . He and his brother & sister should be PTS by Penang SPCA on 9th Apr . With the help from MDDB, he was given a 2nd chance to live. Refer for more details about his story.",6a763a055,2,3.0
2156,Miko,4,207,169,2,2,2,0,0,1,1,3,3,1,1,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,"very cute, obedient, friendly, playful and active little puppy mother of pup is a silky terrier and father of pup is a pekingese. helping a friend post this up. Adoption Fee includes neutering.",a44d42407,3,3.0
2157,Fei Chai,24,307,0,1,1,2,7,0,2,2,1,2,2,2,1,1,0,41336,53b2190d32ed23e43daf8b6bb7ca4231,0,Please adopt him!!! He need a home urgently. Location at jalan keris taman sri tebrau JB.,cc8401c02,3,3.0
2158,Sweetie Pie,24,119,307,2,2,1,6,7,3,2,2,3,3,1,1,1,0,41326,12deeea11a39a3da448d425b42eaee1d,0,"Sweetie was rescued in Jan 08. The rescuer has taken great care of this mild mannered yet personable dog. She was unknowingly rescued pregnant, and gave birth to a litter of 5 pups. Sweetie is protective of the home, very friendly, very alert - makes a good watch dog and companion as well. Is not too hyper but has the energy to play too. she is suspected to be between 2-3 yrs old, is healthy, and very very pretty! See Sweetie here: and Contact:",43ddb2eb4,2,2.0
2159,Jasz Michael,60,195,0,1,1,6,0,0,1,2,2,1,1,1,1,1,0,41401,f6593a1c5d44e6b10048105280701642,0,"Looking for a temporary foster home from September to the end of October. He is a very obedient, well-behaved and quiet dog. Lots of fun to have around. Looking for a nice home for two months, expenditure with regards to food will be covered.",dae92dd61,3,4.0
2160,,1,307,307,1,2,1,2,7,3,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,For Adoption,a6ac8884b,1,3.0
2161,,2,307,0,1,2,1,2,0,2,2,1,2,2,2,1,1,0,41401,b770bac0ca797cf1433c48a35d30c4cb,0,Female-3mths+ healthy and playful. she can eat dry food and rice. need to find an animal lover to give her a sweet home.,d50e11ec5,2,3.0
2162,Pretzel,3,307,0,1,2,2,0,0,1,2,1,1,1,2,1,1,0,41401,39f6f321507e2791e7c12d3f946bc5bf,0,"This little one started hopping in and out of my house porch starting 3 weeks ago to play with my dogs. She is very active and adorable, constantly wagging her tail.",27b6e5aca,4,4.0
2163,,2,307,307,1,2,1,4,7,3,3,1,2,2,2,1,6,0,41327,71ebc64aef066476aabc21ca36c5650a,0,"There's a groups of puppies near my working place at Relau, 2 months old. We are feeding them everyday but since they are growing fast, they start to follow their mother dog out searching for food. This area always got council people come for catching dog, and this is the access way for heavy vehicle in out very frequent. Due to they grow up, we will send them to shelter in 2 weeks time if we can't find people to adopt, our plant is moving soon so there's no one can take care of them. If interested and you are ready for getting a female dog pls contact.",80ebea85c,5,3.0
2164,,120,307,0,1,1,1,2,7,3,3,1,3,3,3,1,1,0,41401,528e832163898e9863fd2cc1dcdc3126,0,"I am posting this on my lecturer's behalf. She found this stray dog in her neighbourhood at Sungai Buloh. He was terrified of people but gradually warmed up to her after she fed him some food & he would wait outside her house at the same time every day for food. One day he didn't show up. When he finally showed up again, he had a large terrible wound on his neck. He was in so much pain and had tears in his eyes. She brought him to the vet and found out his wound had become infested with maggots. The vet treated him and she brought him home and nursed him back to health for over a month. The wound has now completely healed but unfortunately she is unable to keep him. He is estimated to be 10 years old but is still strong & healthy. We are unsure about his breed. He is very obedient & easy to care for. This precious angel has gone through a lot & really needs a loving home.",b84dad49f,3,4.0
2165,Rocket,3,307,0,1,2,2,0,0,1,2,1,2,2,2,1,1,0,41326,eeb152df9a17158315a78e78a2bc93d9,0,"Rocket was tied to back of a friend's home in our neighborhood and we decided to temporarily take it in. She is an adorable little puppy, cheerful and playful and in need of a loving home.",f0a2122d4,4,4.0
2166,Jessy,36,109,0,1,2,2,3,4,3,3,2,1,1,2,1,1,0,41326,07b1ad054b89aec4847067fde31bf1f2,0,"hi, this is jessy and she's a pure golden retriever dog born on the 20th march . she have been vaccinated 3 times and heartgard also have done. her health history completely clear and she haven't been spayed. the reason giving her for adoption is we could not spend much time with her due to personal issue so we want to give her to a better owner who can really look after the cutie. there is no any hidden fee shes a very friendly dog..for more info and if u r intrested call/sms or watsapp on. other things can be discuss later..thanks :) ps : we look adopter nearby klang - pj-subang-shahalam - other places cn discuss coz will visit her once in a month- and adopter also must agree to spay her ..",46d88ca3e,4,1.0
