,BreedID,BreedName
66,67.0,Clumber Spaniel
67,68.0,Cockapoo
68,69.0,Cocker Spaniel
69,70.0,Collie
70,71.0,Coonhound
71,72.0,Corgi
72,73.0,Coton de Tulear
73,74.0,Curly-Coated Retriever
74,75.0,Dachshund
75,76.0,Dalmatian
76,77.0,Dandi Dinmont Terrier
77,78.0,Doberman Pinscher
78,79.0,Dogo Argentino
79,80.0,Dogue de Bordeaux
80,81.0,Dutch Shepherd
81,82.0,English Bulldog
82,83.0,English Cocker Spaniel
83,84.0,English Coonhound
84,85.0,English Pointer
85,86.0,English Setter
86,87.0,English Shepherd
87,88.0,English Springer Spaniel
88,89.0,English Toy Spaniel
89,90.0,Entlebucher
90,91.0,Eskimo Dog
91,92.0,Feist
92,93.0,Field Spaniel
93,94.0,Fila Brasileiro
94,95.0,Finnish Lapphund
95,96.0,Finnish Spitz
96,97.0,Flat-coated Retriever
97,98.0,Fox Terrier
98,99.0,Foxhound
99,100.0,French Bulldog
100,101.0,Galgo Spanish Greyhound
101,102.0,German Pinscher
102,103.0,German Shepherd Dog
103,104.0,German Shorthaired Pointer
104,105.0,German Spitz
105,106.0,German Wirehaired Pointer
106,107.0,Giant Schnauzer
107,108.0,Glen of Imaal Terrier
108,109.0,Golden Retriever
109,110.0,Gordon Setter
110,111.0,Great Dane
111,112.0,Great Pyrenees
112,113.0,Greater Swiss Mountain Dog
113,114.0,Greyhound
114,115.0,Harrier
115,116.0,Havanese
116,117.0,Hound
117,118.0,Hovawart
118,119.0,Husky
119,120.0,Ibizan Hound
120,121.0,Illyrian Sheepdog
121,122.0,Irish Setter
122,123.0,Irish Terrier
123,124.0,Irish Water Spaniel
124,125.0,Irish Wolfhound
125,126.0,Italian Greyhound
126,127.0,Italian Spinone
127,128.0,Jack Russell Terrier
128,129.0,Jack Russell Terrier (Parson Russell Terrier)
129,130.0,Japanese Chin
130,131.0,Jindo
131,132.0,Kai Dog
132,133.0,Karelian Bear Dog
133,134.0,Keeshond
134,135.0,Kerry Blue Terrier
135,136.0,Kishu
136,137.0,Klee Kai
137,138.0,Komondor
138,139.0,Kuvasz
139,140.0,Kyi Leo
140,141.0,Labrador Retriever
141,142.0,Lakeland Terrier
142,143.0,Lancashire Heeler
143,144.0,Leonberger
144,145.0,Lhasa Apso
145,146.0,Lowchen
146,147.0,Maltese
147,148.0,Manchester Terrier
148,149.0,Maremma Sheepdog
149,150.0,Mastiff
150,151.0,McNab
151,152.0,Miniature Pinscher
152,153.0,Mountain Cur
153,154.0,Mountain Dog
154,155.0,Munsterlander
155,156.0,Neapolitan Mastiff
156,157.0,New Guinea Singing Dog
157,158.0,Newfoundland Dog
158,159.0,Norfolk Terrier
159,160.0,Norwegian Buhund
160,161.0,Norwegian Elkhound
161,162.0,Norwegian Lundehund
162,163.0,Norwich Terrier
163,164.0,Nova Scotia Duck-Tolling Retriever
164,165.0,Old English Sheepdog
165,166.0,Otterhound
166,167.0,Papillon
167,168.0,Patterdale Terrier (Fell Terrier)
168,169.0,Pekingese
169,170.0,Peruvian Inca Orchid
170,171.0,Petit Basset Griffon Vendeen
171,172.0,Pharaoh Hound
172,173.0,Pit Bull Terrier
173,174.0,Plott Hound
174,175.0,Podengo Portugueso
175,176.0,Pointer
176,177.0,Polish Lowland Sheepdog
177,178.0,Pomeranian
178,179.0,Poodle
179,180.0,Portuguese Water Dog
180,181.0,Presa Canario
181,182.0,Pug
182,183.0,Puli
183,184.0,Pumi
184,185.0,Rat Terrier
185,186.0,Redbone Coonhound
186,187.0,Retriever
187,188.0,Rhodesian Ridgeback
188,189.0,Rottweiler
189,190.0,Saint Bernard
190,191.0,Saluki
191,192.0,Samoyed
192,193.0,Sarplaninac
193,194.0,Schipperke
194,195.0,Schnauzer
195,196.0,Scottish Deerhound
196,197.0,Scottish Terrier Scottie
197,198.0,Sealyham Terrier
198,199.0,Setter
199,200.0,Shar Pei
200,201.0,Sheep Dog
201,202.0,Shepherd
202,203.0,Shetland Sheepdog Sheltie
203,204.0,Shiba Inu
204,205.0,Shih Tzu
205,206.0,Siberian Husky
206,207.0,Silky Terrier
207,208.0,Skye Terrier
208,209.0,Sloughi
209,210.0,Smooth Fox Terrier
210,211.0,South Russian Ovtcharka
211,212.0,Spaniel
212,213.0,Spitz
213,214.0,Staffordshire Bull Terrier
214,215.0,Standard Poodle
215,216.0,Sussex Spaniel
216,217.0,Swedish Vallhund
217,218.0,Terrier
218,219.0,Thai Ridgeback
219,220.0,Tibetan Mastiff
220,221.0,Tibetan Spaniel
221,222.0,Tibetan Terrier
222,223.0,Tosa Inu
223,224.0,Toy Fox Terrier
224,225.0,Treeing Walker Coonhound
225,226.0,Vizsla
226,227.0,Weimaraner
227,228.0,Welsh Corgi
228,229.0,Welsh Springer Spaniel
229,230.0,Welsh Terrier
230,231.0,West Highland White Terrier Westie
231,232.0,Wheaten Terrier
232,233.0,Whippet
233,234.0,White German Shepherd
234,235.0,Wire Fox Terrier
235,236.0,Wire-haired Pointing Griffon
236,237.0,Wirehaired Terrier
237,238.0,Xoloitzcuintle/Mexican Hairless
238,239.0,Yellow Labrador Retriever
239,240.0,Yorkshire Terrier Yorkie
240,307.0,Mixed Breed
